rank,category,confidence,id_name,family,winols,ghidra,hub,delta,map_start,same_9979,source,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,fam_label,call_site,notes
194,soi,high,soi_base_int_trq2A@18DB80,soi_base_int_trq2A,0x18DB80,0x8018DB80,atlas_start,0x0,0x18DB80,1,atlas_start,soi_base_int_trq2A@18DB80,18DB80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=a77c234a56e6 uniq=5 len=512
195,soi,high,soi_base_int_trq2A@18DD80,soi_base_int_trq2A,0x18DD80,0x8018DD80,atlas_start,0x0,0x18DD80,1,atlas_start,soi_base_int_trq2A@18DD80,18DD80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
196,soi,high,soi_base_int_trq2A@18DF80,soi_base_int_trq2A,0x18DF80,0x8018DF80,atlas_start,0x0,0x18DF80,1,atlas_start,soi_base_int_trq2A@18DF80,18DF80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
197,soi,high,soi_base_int_trq2A@18E180,soi_base_int_trq2A,0x18E180,0x8018E180,atlas_start,0x0,0x18E180,1,atlas_start,soi_base_int_trq2A@18E180,18E180,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
198,soi,high,soi_base_int_trq2A@18E380,soi_base_int_trq2A,0x18E380,0x8018E380,atlas_start,0x0,0x18E380,1,atlas_start,soi_base_int_trq2A@18E380,18E380,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=16aee6187298 uniq=5 len=512
199,soi,high,soi_base_int_trq2A@18E580,soi_base_int_trq2A,0x18E580,0x8018E580,atlas_start,0x0,0x18E580,1,atlas_start,soi_base_int_trq2A@18E580,18E580,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
200,soi,high,soi_base_int_trq2A@18E780,soi_base_int_trq2A,0x18E780,0x8018E780,atlas_start,0x0,0x18E780,1,atlas_start,soi_base_int_trq2A@18E780,18E780,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
201,soi,high,soi_base_int_trq2A@18E980,soi_base_int_trq2A,0x18E980,0x8018E980,atlas_start,0x0,0x18E980,1,atlas_start,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
202,soi,high,soi_base_int_trq2A@18EB80,soi_base_int_trq2A,0x18EB80,0x8018EB80,atlas_start,0x0,0x18EB80,1,atlas_start,soi_base_int_trq2A@18EB80,18EB80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
203,soi,high,soi_base_int_trq2A@18ED80,soi_base_int_trq2A,0x18ED80,0x8018ED80,atlas_start,0x0,0x18ED80,1,atlas_start,soi_base_int_trq2A@18ED80,18ED80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=e029b39e5149 uniq=12 len=512
204,soi,high,soi_base_int_trq2A@18EF80,soi_base_int_trq2A,0x18EF80,0x8018EF80,atlas_start,0x0,0x18EF80,1,atlas_start,soi_base_int_trq2A@18EF80,18EF80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=e029b39e5149 uniq=12 len=512
205,soi,high,soi_base_int_trq2A@18F180,soi_base_int_trq2A,0x18F180,0x8018F180,atlas_start,0x0,0x18F180,1,atlas_start,soi_base_int_trq2A@18F180,18F180,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=757128756375 uniq=12 len=512
206,soi,high,soi_base_int_trq2A@18F380,soi_base_int_trq2A,0x18F380,0x8018F380,atlas_start,0x0,0x18F380,1,atlas_start,soi_base_int_trq2A@18F380,18F380,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
207,soi,high,soi_base_int_trq2A@18F580,soi_base_int_trq2A,0x18F580,0x8018F580,atlas_start,0x0,0x18F580,1,atlas_start,soi_base_int_trq2A@18F580,18F580,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
208,soi,high,soi_base_int_trq2A@18F780,soi_base_int_trq2A,0x18F780,0x8018F780,atlas_start,0x0,0x18F780,1,atlas_start,soi_base_int_trq2A@18F780,18F780,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
209,soi,high,soi_base_int_trq2A@18FF80,soi_base_int_trq2A,0x18FF80,0x8018FF80,atlas_start,0x0,0x18FF80,1,atlas_start,soi_base_int_trq2A@18FF80,18FF80,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=9b8c1e2f6535 uniq=9 len=512
210,soi,high,soi_base_int_trq2A@190180,soi_base_int_trq2A,0x190180,0x80190180,atlas_start,0x0,0x190180,1,atlas_start,soi_base_int_trq2A@190180,190180,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=9b8c1e2f6535 uniq=9 len=512
211,soi,high,soi_base_int_trq2A@190380,soi_base_int_trq2A,0x190380,0x80190380,atlas_start,0x0,0x190380,1,atlas_start,soi_base_int_trq2A@190380,190380,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=9b8c1e2f6535 uniq=9 len=512
212,soi,high,soi_base_int_trq2A@190580,soi_base_int_trq2A,0x190580,0x80190580,atlas_start,0x0,0x190580,1,atlas_start,soi_base_int_trq2A@190580,190580,16,16,512,Start of injection SOI,,,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=51708cacdfb5 uniq=10 len=512
