rank,hub,addr,grid80,id_name,family,roles,folder,delta,map_start,uniq_u16,usefulness,same_9979,call_site,axis_x,axis_y,fam_label,family_id_re,notes
1,B,0x1D0AA8,0xA01D0AA8,AccPed_trq4A,AccPed_trq4A,stage1_core,Engine torque request,0x4C,0x1D0A5C,29,10,1,0x8010FED6,,0xA01B6818,B_fam_unkX_unkY_1D0AA8,B_fam_0025,medium: pointe DANS AccPed_trq4A @0x1D0A5C +0x4C (Engine torque request) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=4e23ee78a921 uniq_u16=29
12,C,0x1D330C,0xA01D330C,tqlim_base_pu_4A,tqlim_base_pu_4A,stage1_core,Engine torque limiters,0x17C,0x1D3190,9,20,0,0x800DDACE,0xA01A760C,,C_fam_unkX_unkY_1D330C,C_fam_0153,medium: pointe DANS tqlim_base_pu_4A @0x1D3190 +0x17C (Engine torque limiters) - pas le debut; comment only; differe de 9979 au meme offset; fp32=f9a67fd31aed uniq_u16=9
13,E,0x1D332C,0xA01D332C,tqlim_base_pu_4A,tqlim_base_pu_4A,stage1_core,Engine torque limiters,0x19C,0x1D3190,9,20,1,0x800DDA36,0xA01B792C,,E_fam_unkX_unkY_1D332C,E_fam_0010,medium: pointe DANS tqlim_base_pu_4A @0x1D3190 +0x19C (Engine torque limiters) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=eecc0af4dcb0 uniq_u16=9
14,C,0x1D0F34,0xA01D0F34,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x8,0x1D0F2C,1,30,1,0x800B1B10,0xA01A3464,,C_fam_D00019A6_D0001998_1D0F34,C_fam_0192,medium: pointe DANS smoke_mapA @0x1D0F2C +0x8 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1
15,I,0x1D0F80,0xA01D0F80,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x54,0x1D0F2C,1,30,1,0x800F8DB8,0xA01B491C,0xA01B48F0,I_fam_unkX_unkY_1D0F80,I_fam_0042,medium: pointe DANS smoke_mapA @0x1D0F2C +0x54 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1
16,I,0x1D282C,0xA01D282C,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x64,0x1D27C8,26,30,1,0x80081ECA,0xA01B2868,,I_fam_unkX_unkY_1D282C,I_fam_0054,medium: pointe DANS smoke_mapA @0x1D27C8 +0x64 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=3f7783e824c8 uniq_u16=26
17,2d,0x1D287C,0xA01D287C,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0xB4,0x1D27C8,27,30,1,0x8008E56C,0xA01A5440,0xA01A9820,fam_unkX_D00017D6_1D287C,fam_0045,medium: pointe DANS smoke_mapA @0x1D27C8 +0xB4 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=b1c72dfd1bfc uniq_u16=27
18,C,0x1D232C,0xA01D232C,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0xBC,0x1D2270,31,30,1,0x800DDB38,0xA01A6628,,C_fam_unkX_unkY_1D232C,C_fam_0147,medium: pointe DANS smoke_mapA @0x1D2270 +0xBC (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=aa049124c6bd uniq_u16=31
19,B,0x1D1040,0xA01D1040,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x114,0x1D0F2C,1,30,1,0x80096A6C,0xA01B1874,0xA01B1874,B_fam_unkX_unkY_1D1040,B_fam_0021,medium: pointe DANS smoke_mapA @0x1D0F2C +0x114 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5b5045aac031 uniq_u16=1
20,2d,0x1D20E4,0xA01D20E4,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x120,0x1D1FC4,31,30,1,0x800879EC,,0xA01A74F4,fam_unkX_unkY_1D20E4,fam_0091,medium: pointe DANS smoke_mapA @0x1D1FC4 +0x120 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=5c9625e787d8 uniq_u16=31
21,K,0x1D2654,0xA01D2654,smoke_mapA,smoke_mapA,stage1_core|stage1_support,Smoke limitation,0x138,0x1D251C,28,30,1,0x80093D34,,,K_fam_unkX_unkY_1D2654,K_fam_0054,medium: pointe DANS smoke_mapA @0x1D251C +0x138 (Smoke limitation) - pas le debut; comment only; identique 64o vs 9979 au meme offset; fp32=0c2239d76506 uniq_u16=28
