Golf 9980 - Stage1 VALIDATED pack (auto)
Source: hub grids + atlas START fingerprints vs atlas 9979 / A2L
HIGH = rename OK (skip AccPed if already labeled) | MEDIUM = comment only

counts: unique_addrs=357  high=145  medium=212

=== CHECKLIST: HIGH (all) ===
  medium 801CFA30   1CFA30     AccPed_trq4A             8x16
  medium 801D0ACC   1D0ACC     AccPed_trq4A             8x16
  medium 801CFA3C   1CFA3C     AccPed_trq4A             8x16
  medium 801CFE3C   1CFE3C     AccPed_trq4A             8x16
  medium 801D0ADC   1D0ADC     AccPed_trq4A             8x16
  medium 801D0AEC   1D0AEC     AccPed_trq4A             8x16
  medium 801CFEB4   1CFEB4     AccPed_trq4A             8x16
  ... +1 more

=== clutch_prot (4) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801D0860   1D0860     tqlim_cluth_prot         8x8
  medium 801D086C   1D086C     tqlim_cluth_prot         8x8
  medium 801D0878   1D0878     tqlim_cluth_prot         8x8
  medium 801D08BC   1D08BC     tqlim_cluth_prot         8x8

=== tqlim (5) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801D3190   1D3190     tqlim_base_pu_4A         8x26
  medium 801D3928   1D3928     tqlim_base8A             
  medium 801D32CC   1D32CC     tqlim_base_pu_4A         8x26
  medium 801D330C   1D330C     tqlim_base_pu_4A         8x26
  medium 801D332C   1D332C     tqlim_base_pu_4A         8x26

=== tqlim_other (11) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801CEED4   1CEED4     tqlim_speed2A            6x8
  high   801D2C1C   1D2C1C     tqlim_fuel_temp2         4x6
  high   801D3390   1D3390     tqlim_fuel_temp2A        16x16
  high   801D35A8   1D35A8     tqlim_tegt_temp          16x16
  medium 801CEEF4   1CEEF4     tqlim_speed2A            6x8
  medium 801CEF18   1CEF18     tqlim_speed2A            6x8
  medium 801D33D8   1D33D8     tqlim_fuel_temp2A        16x16
  medium 801D3618   1D3618     tqlim_tegt_temp          16x16
  medium 801D3670   1D3670     tqlim_tegt_temp          16x16
  medium 801D3712   1D3712     tqlim_tegt_temp          16x16
  medium 801D3738   1D3738     tqlim_tegt_temp          16x16

=== smoke (26) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  high   801D1D18   1D1D18     smoke_mapA               19x18
  high   801D1FC4   1D1FC4     smoke_mapA@1D1FC4        19x18
  high   801D2270   1D2270     smoke_mapA@1D2270        19x18
  high   801D251C   1D251C     smoke_mapA@1D251C        19x18
  high   801D27C8   1D27C8     smoke_mapA@1D27C8        19x18
  medium 801D0F34   1D0F34     smoke_mapA               19x18
  medium 801D0F80   1D0F80     smoke_mapA               19x18
  medium 801D282C   1D282C     smoke_mapA               19x18
  medium 801D287C   1D287C     smoke_mapA               19x18
  medium 801D232C   1D232C     smoke_mapA               19x18
  medium 801D1040   1D1040     smoke_mapA               19x18
  medium 801D20E4   1D20E4     smoke_mapA               19x18
  ... +14 more

=== smoke_maf (17) ===
  conf   Ghidra      WinOLS     id_name                  atlas
  medium 801D144C   1D144C     smoke_maf_trqA           
  medium 801D1B24   1D1B24     smoke_maf_trqA           
  medium 801D16F0   1D16F0     smoke_maf_trqA           
  medium 801D193C   1D193C     smoke_maf_trqA           
  medium 801D14C4   1D14C4     smoke_maf_trqA           
  medium 801D1720   1D1720     smoke_maf_trqA           
  medium 801D0DC4   1D0DC4     smoke_maf_trqA           
  medium 801D12CC   1D12CC     smoke_maf_trqA           
  medium 801D17A0   1D17A0     smoke_maf_trqA           
  medium 801D19EC   1D19EC     smoke_maf_trqA           
  medium 801D0E48   1D0E48     smoke_maf_trqA           
  medium 801D1A44   1D1A44     smoke_maf_trqA           
  ... +5 more

=== turbo (45) ===
