category,cat_rank,confidence,id_name,family,addr,winols,ghidra,hub,delta,atlas_id,atlas_addr,atlas_cols,atlas_rows,atlas_length,folder,group,same_9979,exact_fp,relocated,new_name,notes
soi,70,low,soi_base_int_trq2A@18C580,soi_base_int_trq2A,0x18C580,0x18C580,0x8018C580,atlas_start,0x0,soi_base_int_trq2A@18C580,18C580,16,16,512,Start of injection SOI,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=16aee6187298 uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18C780,soi_base_int_trq2A,0x18C780,0x18C780,0x8018C780,atlas_start,0x0,soi_base_int_trq2A@18C780,18C780,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
soi,70,high,soi_base_int_trq2A@18C980,soi_base_int_trq2A,0x18C980,0x18C980,0x8018C980,atlas_start,0x0,soi_base_int_trq2A@18C980,18C980,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=a77c234a56e6 uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18CB80,soi_base_int_trq2A,0x18CB80,0x18CB80,0x8018CB80,atlas_start,0x0,soi_base_int_trq2A@18CB80,18CB80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18CD80,soi_base_int_trq2A,0x18CD80,0x18CD80,0x8018CD80,atlas_start,0x0,soi_base_int_trq2A@18CD80,18CD80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18CF80,soi_base_int_trq2A,0x18CF80,0x18CF80,0x8018CF80,atlas_start,0x0,soi_base_int_trq2A@18CF80,18CF80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18D180,soi_base_int_trq2A,0x18D180,0x18D180,0x8018D180,atlas_start,0x0,soi_base_int_trq2A@18D180,18D180,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18D380,soi_base_int_trq2A,0x18D380,0x18D380,0x8018D380,atlas_start,0x0,soi_base_int_trq2A@18D380,18D380,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=2fba02306a60 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18D580,soi_base_int_trq2A,0x18D580,0x18D580,0x8018D580,atlas_start,0x0,soi_base_int_trq2A@18D580,18D580,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
soi,70,low,soi_base_int_trq2A@18D780,soi_base_int_trq2A,0x18D780,0x18D780,0x8018D780,atlas_start,0x0,soi_base_int_trq2A@18D780,18D780,16,16,512,Start of injection SOI,a2l,0,0,0,,low: start differs from atlas/ORI fingerprint; differe de ORI 9979; fp=16aee6187298 uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18D980,soi_base_int_trq2A,0x18D980,0x18D980,0x8018D980,atlas_start,0x0,soi_base_int_trq2A@18D980,18D980,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
soi,70,high,soi_base_int_trq2A@18DB80,soi_base_int_trq2A,0x18DB80,0x18DB80,0x8018DB80,atlas_start,0x0,soi_base_int_trq2A@18DB80,18DB80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=a77c234a56e6 uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18DD80,soi_base_int_trq2A,0x18DD80,0x18DD80,0x8018DD80,atlas_start,0x0,soi_base_int_trq2A@18DD80,18DD80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18DF80,soi_base_int_trq2A,0x18DF80,0x18DF80,0x8018DF80,atlas_start,0x0,soi_base_int_trq2A@18DF80,18DF80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18E180,soi_base_int_trq2A,0x18E180,0x18E180,0x8018E180,atlas_start,0x0,soi_base_int_trq2A@18E180,18E180,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=4b1942456fe7 uniq=6 len=512
soi,70,high,soi_base_int_trq2A@18E380,soi_base_int_trq2A,0x18E380,0x18E380,0x8018E380,atlas_start,0x0,soi_base_int_trq2A@18E380,18E380,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=16aee6187298 uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18E580,soi_base_int_trq2A,0x18E580,0x18E580,0x8018E580,atlas_start,0x0,soi_base_int_trq2A@18E580,18E580,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=674e29cef5ac uniq=13 len=512
soi,70,high,soi_base_int_trq2A@18E780,soi_base_int_trq2A,0x18E780,0x18E780,0x8018E780,atlas_start,0x0,soi_base_int_trq2A@18E780,18E780,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18E980,soi_base_int_trq2A,0x18E980,0x18E980,0x8018E980,atlas_start,0x0,soi_base_int_trq2A@18E980,18E980,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=65f989b3cb89 uniq=7 len=512
soi,70,high,soi_base_int_trq2A@18EB80,soi_base_int_trq2A,0x18EB80,0x18EB80,0x8018EB80,atlas_start,0x0,soi_base_int_trq2A@18EB80,18EB80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=47c58cdb35cc uniq=5 len=512
soi,70,high,soi_base_int_trq2A@18ED80,soi_base_int_trq2A,0x18ED80,0x18ED80,0x8018ED80,atlas_start,0x0,soi_base_int_trq2A@18ED80,18ED80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=e029b39e5149 uniq=12 len=512
soi,70,high,soi_base_int_trq2A@18EF80,soi_base_int_trq2A,0x18EF80,0x18EF80,0x8018EF80,atlas_start,0x0,soi_base_int_trq2A@18EF80,18EF80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=e029b39e5149 uniq=12 len=512
soi,70,high,soi_base_int_trq2A@18F180,soi_base_int_trq2A,0x18F180,0x18F180,0x8018F180,atlas_start,0x0,soi_base_int_trq2A@18F180,18F180,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=757128756375 uniq=12 len=512
soi,70,high,soi_base_int_trq2A@18F380,soi_base_int_trq2A,0x18F380,0x18F380,0x8018F380,atlas_start,0x0,soi_base_int_trq2A@18F380,18F380,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
soi,70,high,soi_base_int_trq2A@18F580,soi_base_int_trq2A,0x18F580,0x18F580,0x8018F580,atlas_start,0x0,soi_base_int_trq2A@18F580,18F580,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
soi,70,high,soi_base_int_trq2A@18F780,soi_base_int_trq2A,0x18F780,0x18F780,0x8018F780,atlas_start,0x0,soi_base_int_trq2A@18F780,18F780,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=0268e5b3c1c8 uniq=15 len=512
soi,70,high,soi_base_int_trq2A@18FF80,soi_base_int_trq2A,0x18FF80,0x18FF80,0x8018FF80,atlas_start,0x0,soi_base_int_trq2A@18FF80,18FF80,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=9b8c1e2f6535 uniq=9 len=512
soi,70,high,soi_base_int_trq2A@190180,soi_base_int_trq2A,0x190180,0x190180,0x80190180,atlas_start,0x0,soi_base_int_trq2A@190180,190180,16,16,512,Start of injection SOI,a2l,1,1,0,soi_base_int_trq2A,high: atlas start fingerprint match cols=16 rows=16 src=atlas; identique vs ORI 9979; fp=9b8c1e2f6535 uniq=9 len=512
